Country,L1Name,number_of_urban_patches,patch_density,area_weigthed_mean_shape_index,area_weigthed_mean_nearest_neighbor,effective_mesh_size,area_weighted_mean_patch_size,Circuity_average,intersection_density,street_density,street_length_average,streets_per_node_average,urb_perfil,stt_perfil,area,population_density,CentLatitude,CentLongitude
Colombia,Apartado,4,0.4965,3.8388,60.0015,226.1667,426.6002,1.01885302049748,21.3794373716418,2145.63003913005,59.5066951219513,3.07202572347266,1,4,65.9512210489811,29648.81941,7.882760999999999,-76.624692
Chile,Iquique,10,0.5322,2.8948,60.2539,756.3894,1187.5717,1.02656800369767,13.7783672469797,1898.89234896019,80.6987532603026,3.19850808122668,5,4,162.936577299614,12678.53362,-20.2307033,-70.1356692
Mexico,Teziutlan,10,1.684,3.3183,109.4087,48.1552,108.4767,1.08408210271709,10.0614851328178,1548.31763748102,91.3030898617511,2.68358208955223,1,6,51.1852865855965,18017.50426,19.8160106,-97.35705759999999
Brasil,Vitoria de Santo Antao,11,0.7759,3.8486,60.0855,548.6204,865.54,1.02401291160824,17.2805676357939,2073.83011516888,70.4083021015762,2.90893831305077,5,4,116.31562355837201,12864.19459,-8.1286072,-35.2979382
Peru,Pisco,11,1.0496,3.1342,60.1249,291.6536,503.5294,1.02467160890819,15.1753162544762,1957.9536617128,73.5294120926244,3.21742112482853,5,4,87.5764285708368,8606.632293,-13.7134562,-76.1841701
Brasil,Angra dos Reis,12,3.2744,4.269,60.631,82.093,167.9813,1.04911151111631,9.26180588546382,1351.02020337547,84.3816959737058,2.57894736842105,1,5,76.0110942408014,7895.450443,-23.0069033,-44.3185204
Peru,Huaraz,15,1.0825,4.3381,60.5854,472.0483,798.1172,1.04896231889869,12.3486707838822,1589.23894344578,74.6538937834501,2.9385171790235,5,6,114.10134942127101,12295.44789,-9.5261154,-77.5287792
Chile,San Antonio,17,0.9087,3.7663,74.045,306.382,562.4625,1.03466454212026,10.096506651741999,1442.25608488429,83.4267026940344,3.11077993045206,1,6,180.359411706602,7491.13471,-33.5922807,-71.6055123
Colombia,Cartago,17,1.2442,5.2789,60.178,408.8282,734.9225,1.03165668200665,6.877926340059659,1185.57976937279,97.8066222222224,3.04260089686098,5,1,111.370776906772,15089.80047,4.747221199999999,-75.91162890000001
Colombia,Palmira,18,0.6775,4.1748,60.8972,841.5032,1356.9401,1.02695764694846,15.5869492365881,2080.1183591334,78.5550326923078,3.18888888888888,5,4,216.01404796369198,11043.53053,3.5379718,-76.2971657
Nicaragua,Chinandega,18,1.1786,5.0284,62.4145,366.278,668.5027,1.03587096857804,9.102517426148111,1442.86947263223,90.0554771273978,3.00219458668617,1,5,126.887974603829,12677.95245,12.6234721,-87.1273253
Colombia,Sincelejo,19,0.7418,5.0932,60.2399,995.8241,1582.2767,1.02169417397992,16.9672533730653,2017.74927554087,68.3089579386739,3.08146136756356,2,4,210.876794336076,14935.49094,9.3045773,-75.39055669999999
Brasil,Araguari,20,0.5637,4.6717,60.5089,1356.0999,2119.5076,1.0182225235972,10.3827279012218,1693.10840754282,94.196842509603,3.33282766990291,2,3,304.158986929472,4392.642557,-18.6459014,-48.1979841
Brasil,Passos,20,0.6994,4.8102,60.3669,1011.3323,1690.0043,1.02031021966885,11.2624991077875,1748.87375229719,90.6140541666667,3.27402376910017,2,3,248.701462543356,5947.000839,-20.7221434,-46.6133353
Colombia,Riohacha,20,0.9465,2.7386,60.2942,716.3131,1143.5099,1.01633242841366,13.267369661418,1928.03854740862,80.7961607655501,3.3978102189781,5,4,175.16659739709098,13513.97788,11.5384151,-72.91678379999999
Colombia,Tulua,20,1.116,4.7263,60.1456,661.071,1080.8693,1.0190120434703,18.6968546125188,2074.539020548,65.2052354970886,3.18835616438356,5,4,145.746440054971,16222.51581,4.089869,-76.1914991
Colombia,Tunja,21,1.8331,3.3357,60.0811,58.4984,131.8856,1.04802619893422,16.2054680153084,2021.99885505485,75.6182508064514,2.96214327315084,1,4,92.74647289298869,28009.827,5.5446422,-73.3575572
Colombia,Duitama,21,1.6539,3.7185,60.6102,399.6719,676.1687,1.04268430300431,14.588008702319799,1874.1017344544,73.6124857792946,2.83687566418703,5,6,103.578221732189,12044.20065,5.8268951,-73.0329273
Colombia,Buga,21,1.5781,3.4616,60.9914,458.4659,764.5924,1.02823486845038,14.1841231874101,1801.37789373359,72.4165898480919,3.23311416616855,5,4,108.501595739525,12135.97073,3.9005079,-76.30218889999999
Peru,Puno,21,1.1572,4.4926,60.0484,484.0561,821.3434,1.04409163514245,9.722588876857829,1496.44037656226,88.7597265685515,3.09606205250596,5,5,153.14851001714,12000.15359,-15.8402218,-70.0218805
Brasil,Uruguaiana,23,0.7894,4.8916,60.3943,1103.3193,1756.3806,1.02417730358125,5.7396495171816895,1146.93130757194,111.22863022508,3.13043478260869,2,1,271.445145794375,5739.385613,-29.7619121,-57.08584279999999
Colombia,Florencia,23,1.4772,4.3591,60.1849,490.6021,864.035,1.0496807950468,6.93668132655215,1049.56985890351,87.2007309210525,2.96108949416342,5,2,126.28517280257,15674.47413,1.6153858,-75.60423639999999
Peru,Huanuco,23,1.259,5.5226,60.115,542.2868,958.5405,1.05218217179087,13.9975196265808,1978.84801517635,83.2244497354498,2.98556701030927,5,4,151.02675733960498,16745.9089,-9.9298454,-76.24326529999999
Colombia,Quibdo,24,1.7376,4.846,60.1197,449.301,779.3198,1.0594430780298,3.57509816299092,654.122129057914,101.284861263736,2.61071428571428,5,2,112.724177526597,12966.37476,5.695633,-76.649812
Peru,Tumbes,24,1.5872,4.435,60.2415,487.9472,850.9447,1.02770448156932,13.6996864278334,1813.04642678211,77.3601056826055,3.01821019771071,5,4,123.141504653168,11564.48351,-3.5564921,-80.4270885
Mexico,Tecoman,24,1.1757,3.8585,60.1348,592.0742,1014.3073,1.01201704451602,10.5822583370884,1611.36750888477,83.0935746820467,3.34384236453201,5,3,174.348418005795,6311.659666,18.9173829,-103.8738031
Colombia,Yopal,25,1.423,3.1879,60.3981,639.8823,1024.1159,1.02280555875772,16.2346821844123,2047.56864205226,73.2439435987021,3.25425101214574,5,4,143.335112666034,8340.67211,5.348903,-72.40052299999999
Chile,Antofagasta,26,0.5857,5.0731,63.9291,1675.4854,2649.8521,1.03827027516671,17.0019732464043,2037.06898690334,70.2410461768063,3.05479818230419,2,4,392.77793837325896,9588.559664,-23.6509279,-70.39750219999999
Colombia,Popayan,26,1.0881,5.0978,60.6476,745.4769,1275.0037,1.05255142991307,14.019218760471102,1713.8254700931,72.3646004352558,2.93775801841854,5,6,194.01937058499598,13468.28614,2.4448143,-76.6147395
Peru,Sullana,26,1.1555,3.857,60.1232,568.9725,958.5236,1.01339827547465,13.6884815170205,1992.42822957739,82.3130119315621,3.36039083051484,5,4,183.511954695378,13165.02471,-4.903638,-80.68643229999999
Mexico,Tianguistenco,26,1.9042,6.2291,61.4216,294.7168,596.1532,1.05217432391016,4.43400713137344,929.179304474866,123.8294125,3.01845637583892,5,2,117.27540903591799,7848.55342,19.1804002,-99.467615
Colombia,Fusagasuga,27,1.6541,3.2821,60.8033,239.9271,447.0472,1.05900026146854,8.468226571607591,1187.82058053417,80.9542209123526,2.89372693726937,5,2,132.967627929945,10860.33447,4.345152,-74.361823
Argentina,Rio Gallegos,28,1.0979,2.9863,60.8981,1246.9654,1735.9738,1.01018116466288,8.72429037128214,1308.0919809557,86.6348091327859,3.41368743615934,2,5,330.685921401308,4549.575651,-51.6230485,-69.2168291
Colombia,Valledupar,28,0.663,5.026,60.4928,1577.0333,2533.8796,1.01217176311051,14.926326819039799,2076.48402642765,78.7640570962479,3.345797785442,2,4,348.779714065974,13770.6975,10.4742449,-73.2436335
Brasil,Teixeira de Freitas,30,0.9044,5.5988,60.2799,1166.3128,1896.5963,1.01817017890969,13.5110766136873,1934.29140225245,82.6367357434579,3.29509415262636,2,4,282.434931657054,6683.04886,-17.5400307,-39.7421813
Peru,Ayacucho,30,1.0677,4.4161,60.5279,848.4973,1442.2652,1.03329880006006,16.3743856087033,2106.88773130644,75.1602061824273,3.10892018779342,5,4,234.26833175109002,10644.18117,-13.1638737,-74.22356409999999
Mexico,San Cristobal de las Casas,30,0.9649,4.3636,60.6593,1263.1097,1943.0639,1.03888547035927,6.331638745778349,1090.26915893072,98.9299521514629,2.95532994923857,2,1,263.59684546324,8824.337096,16.7369928,-92.63759879999999
Mexico,Ocotlan,31,1.263,4.1832,60.5511,674.4932,1156.4376,1.03395065156912,9.16042204070288,1442.08803088792,89.7272543911006,3.10400720396217,5,5,212.54479229764803,5611.510128,20.3417485,-102.7652326
Mexico,Zamora,31,0.8834,5.5719,60.3676,599.9358,1045.13,1.03851879623397,11.140015799429198,1508.65186718746,79.6875762120684,3.10755892712002,5,6,302.87210186657404,7956.581553,19.9901766,-102.2834075
Mexico,Rio Verde,31,1.3389,4.2074,60.4994,296.7962,550.0201,1.02988928360415,4.6418763820137405,926.010549350195,113.459504542701,2.94774136403897,5,2,202.28888551156098,4385.548348,21.9277923,-99.9856344
Brasil,Sertaozinho,32,1.0484,5.5614,61.5624,1069.9573,1751.3134,1.02133004168655,10.5321135211591,1766.68285826084,97.9198487886384,3.28697721863311,2,3,265.378833449223,5045.270565,-21.1379949,-47.990137
Chile,Punta Arenas,32,0.9161,4.0525,61.6262,1071.7933,1729.8807,1.03498781643836,8.01516237370809,1067.76451715966,77.5386948916409,3.05246986528007,2,2,469.11089566118096,4878.435425,-53.1638329,-70.9170683
Mexico,Hidalgo del Parral,32,1.5238,3.9914,60.4563,598.2577,1024.2991,1.043767673051,12.0853816291254,1665.00423925614,79.18256575992,3.05570392979778,5,6,190.560800699071,6192.96017,26.9317835,-105.6666166
Mexico,Acuna,32,0.7758,4.6302,61.3979,1390.3815,2240.2139,1.01976447795268,10.6665716559408,1595.89262912022,84.7832430969887,3.2521836506159,2,3,382.87841039584504,4790.735277,29.3232963,-100.9514187
Mexico,Chetumal,32,0.8598,3.873,60.3785,1519.1408,2293.6591,1.02528535289444,14.258392767473001,2046.18097118387,80.8325854050713,3.44621598639455,2,4,319.39083698050604,5255.011585,18.5001889,-88.296146
Brasil,Tatui,33,1.1966,5.3477,60.3667,748.3925,1317.1124,1.03225603429768,8.009100742051231,1392.21843016448,102.631164138349,3.09706019598693,5,5,242.97359499833203,5041.533331,-23.3492186,-47.8465761
Chile,Arica,33,0.9288,5.1841,60.7143,1338.7358,2131.2769,1.02803236648444,16.8847305938835,1951.5844629569,69.6344009384162,3.06152466367713,2,4,304.18015682527397,7812.609302,-18.4782534,-70.3125988
Colombia,Pasto,33,1.3302,4.5228,60.3317,876.1013,1440.9485,1.0463506026567,19.508454071234,2248.65444333617,68.2432277585428,2.97704479607755,5,4,201.604903476147,22813.64853,1.2058837,-77.285787
Mexico,Acayucan,33,2.3851,3.6871,60.4296,312.3265,567.0047,1.02603158939797,6.98265994473884,1277.46146337847,102.908072115384,3.05827263267429,5,1,117.29054636508299,7159.774249,17.949192,-94.91459739999999
Brasil,Barreiras,34,1.1652,3.5591,60.358,551.3886,922.6426,1.01408417861675,14.1284813636121,2022.04696513301,85.3575546072113,3.23718846261551,5,4,242.34734872627598,6429.381993,-12.1477483,-44.9953475
Brasil,Garanhuns,34,1.5062,5.4367,60.9214,639.2873,1152.7763,1.01512137080521,14.0120560070575,1929.4736068596,81.9086030656599,3.2224244630506,5,4,185.554496691309,9384.931546,-8.882855100000002,-36.4969127
Mexico,Ciudad del Carmen,34,0.9142,3.4294,60.7801,1600.7017,2366.6033,1.02752328989688,7.31899239426302,1318.72153726145,103.224681583476,3.06450396076952,2,1,318.349832119837,5456.783404,18.6504879,-91.80745859999999
Peru,Cajamarca,35,1.4451,4.9625,60.4277,858.943,1402.1325,1.04131764613969,9.78646481270114,1501.92658059579,88.9812818290497,3.14519140989729,5,5,198.232971469147,12513.4302,-7.1617465,-78.51278549999999
Brasil,Sobral,36,1.7076,4.125,60.3364,536.696,919.6185,1.02842585571233,14.6459214403002,1999.40583309845,80.0628598326359,3.21671597633136,5,4,172.266388993294,10828.72812,-3.6895919,-40.3485423
Brasil,Varginha,36,1.0641,5.0957,61.5875,993.1489,1695.4209,1.03427136228395,10.8392903922709,1693.84168366844,93.1018263629571,3.14119359534206,2,3,294.391965204231,5872.785871,-21.5566617,-45.4270897
Chile,Copiapo,37,1.0365,5.8134,61.1041,904.0457,1547.9972,1.0494256101983,11.9517977855095,1509.56411074281,72.9595821072968,2.87195382642154,2,6,325.223039224495,5895.092631,-27.3665763,-70.3321587
Colombia,Manizales,37,1.6746,5.3386,62.0584,490.6716,910.5055,1.07309205135795,20.2623657005417,2347.89260090167,68.3136833845656,2.99157641395908,1,4,179.840797163312,24930.91989,5.070275,-75.5138166
Mexico,Santo Domingo Tehuantepec,38,2.2963,4.8202,61.027,452.5529,808.2652,1.06368867214968,10.1589466056972,1637.10832597524,91.8976288163947,2.84194977843426,5,6,268.433343125423,6002.143353,16.3226994,-95.24233
Nicaragua,Esteli,38,2.4025,4.129,60.8632,489.2468,833.0611,1.02646318737561,11.7622003804026,1668.93696313974,81.6829687616213,3.12860438292964,5,3,131.608028254574,10587.44539,13.0851139,-86.3630197
Nicaragua,Masaya,38,2.6563,3.6455,60.9313,516.7382,841.984,1.02944456515378,7.15586064435408,1261.06890417883,104.218713690062,3.03239289446186,5,1,118.923500930867,13605.01105,11.9704485,-86.0886366
Brasil,Rio Claro,39,0.714,5.7249,60.6883,2058.8714,3263.052,1.03036157480208,9.46935699694181,1567.03035081509,95.2705919532934,3.24665706644723,4,3,479.018797312735,4847.281908,-22.4149023,-47.5651394
Brasil,Rio das Ostras,39,0.9239,7.1118,60.3609,1456.9646,2456.451,1.0216352714026,9.64283617439553,1621.70209881446,98.5398476549693,2.95570983959779,2,5,370.53413906246,4431.385157,-22.4650817,-41.9394892
Mexico,Chilpancingo,39,1.1039,6.057,60.912,1044.2141,1790.4071,1.06265783001507,6.77044166437006,1141.64514803868,98.6133030477286,2.81320450885668,2,2,300.423532293922,8926.634152,17.5515346,-99.5006322
Mexico,Uriangato,39,1.4794,5.3661,60.6209,663.1238,1178.7258,1.02993163083011,7.548754427602989,1329.66837583444,101.797165600807,2.90777402221149,5,5,227.454743225129,5699.573877,20.1462015,-101.178725
Mexico,Guaymas,39,0.8919,6.4319,60.1476,1152.5665,2040.6067,1.03017723264583,8.2353013570587,1233.84232499721,85.7323814236109,2.95832267962158,2,5,400.228219599384,3696.209244,27.9178651,-110.9089378
Mexico,Fresnillo,39,1.2296,5.7029,60.3623,1184.8668,1908.5128,1.0181441544589,6.6339732999622205,1185.98438305635,101.391152646069,3.28879959819186,2,1,279.470524852814,4189.566252,23.1777586,-102.8687414
Colombia,Santa Marta,40,1.0261,4.7716,60.6947,1205.758,1935.1639,1.03085020711533,14.8565051687289,1770.01882351278,68.4287500897237,3.08184660658451,2,4,323.158101146526,12639.35368,11.2403547,-74.2110227
Peru,Piura,41,0.7886,6.7963,60.1567,1941.2116,3101.4933,1.01404224174316,15.8263136486946,2116.64769023124,80.2071444781985,3.20712157752872,4,4,424.10381526550896,11216.77628,-5.1782884,-80.6548882
Peru,Tacna,41,0.761,6.2688,60.5598,1991.1487,3217.4508,1.01459724490883,18.620984856091297,2299.96490643751,73.4158952301602,3.18382111147648,4,4,459.750118812835,7761.527064,-18.0065679,-70.2462741
Brasil,Itabuna,42,1.4452,5.0565,60.5046,839.0306,1433.3791,1.03670772322662,11.8379692845775,1714.67560511768,84.3108271903323,3.05079559363525,5,6,244.12970928764602,11882.13629,-14.7916229,-39.2833243
Brasil,Ourinhos,42,1.1277,4.6883,60.8172,1244.4851,2009.9933,1.04404421851709,9.500729815878719,1567.2017899012,97.626343779677,3.20315342631898,2,5,327.974804082121,4182.392156,-22.9493713,-49.87520689999999
Mexico,Iguala,42,1.5212,6.0138,61.0537,942.8885,1557.5024,1.03907754724748,5.79148045095135,1069.37908381207,102.782276283618,2.91286307053941,2,2,235.863698680984,6669.545613,18.3448477,-99.5397344
Brasil,Pocos de Caldas,43,1.2368,5.6069,63.875,1052.0186,1805.5906,1.05173911507674,7.7927271371944205,1329.61613397177,101.942753787878,2.97058823529411,2,5,303.616430852193,5434.369862,-21.7695566,-46.5547852
Brasil,Parobe,43,1.2718,4.7623,60.5319,522.1412,918.767,1.02299614669433,6.65477769188962,1205.30087568066,104.70034425778,2.86810176125244,5,1,315.412489670107,5027.735803,-29.6246924,-50.8324672
Colombia,Monteria,43,1.25,4.2183,60.7792,1036.1861,1725.0662,1.01646267793382,15.943616443903501,2002.13409081937,71.910579643766,3.22622950819672,2,4,282.30734324526895,16918.9467,8.750983,-75.8785348
Argentina,Concordia,44,1.1582,4.1818,60.4195,1411.8088,2184.1771,1.0145813248718,9.23861229560791,1478.42035105183,89.2552031852473,3.37503522118906,2,3,360.119019344677,4987.265686,-31.3913921,-58.01743399999999
Argentina,San Carlos de Bariloche,44,1.6894,4.1184,60.5692,662.4137,1143.6338,1.02667639452683,6.80412489317687,1225.25968052837,103.612125227963,3.27250368912936,5,1,278.21358803955604,4430.284595,-41.1334722,-71.3102778
Brasil,Teofilo Otoni,44,1.9873,7.1808,60.8225,482.8419,950.7278,1.06373595996086,9.07039317827031,1591.29056818776,105.943440564374,2.86162269785963,5,5,188.74595250196901,10693.49115,-17.8600089,-41.5091042
Brasil,Teresopolis,44,2.3188,5.9749,63.812,273.8123,590.1112,1.16296934688641,5.39638103257281,1219.27635849849,131.495217109526,2.56781045751634,1,2,166.40781934774898,10027.54036,-22.4178833,-42.9732217
Colombia,Armenia,44,1.5506,6.2676,60.7602,657.7851,1181.899,1.05519519856796,14.1198811852622,1666.91908447749,68.4977950907148,2.82818387339864,5,6,231.021773993732,16581.95779,4.535000399999999,-75.6756888
Guatemala,Escuintla,44,2.0358,4.4695,61.9779,344.5934,668.9084,1.0870818390784,6.94321277949945,1242.58030973449,105.415592783505,2.80859375,1,2,181.040109228889,10169.85846,14.3009252,-90.7881835
Brasil,Jequie,45,1.2967,5.366,63.2271,758.1355,1372.8901,1.02770731216956,12.891231826003201,1802.00861279286,83.5672369220923,3.09200789343857,2,4,289.88695963577203,7629.292974,-13.8590592,-40.0837763
Peru,Chimbote,45,0.9413,4.6967,60.2983,815.4032,1336.9481,1.01796442882187,11.625947757212801,1610.11172101759,82.0645692048253,3.1835728952772,5,3,392.914203245579,10881.42417,-9.063336399999999,-78.589011
Argentina,Santa Rosa,46,1.0364,5.6902,60.2833,1734.2685,2698.8151,1.01186882175946,8.76848491781135,1499.49019224613,98.2770316020485,3.44555694618272,2,5,447.967925681332,3751.071295,-36.620922,-64.2912369
Brasil,Linhares,46,1.5043,3.6046,60.3204,506.7528,884.442,1.01505979824252,9.447219106451529,1526.64416600818,90.6414384147714,3.21642059776737,5,3,263.67547655361204,6327.316857,-19.4021415,-40.0670118
Peru,Chincha Alta,46,1.4569,6.2442,60.8898,857.7792,1547.3724,1.02028031278473,9.86197123136661,1488.49349112776,89.442849280658,3.0454076367389,2,5,263.131978295215,9169.437515,-13.42553,-76.13671099999999
Brasil,Barbacena,47,1.8389,6.2671,60.4237,718.413,1279.8125,1.06077628449729,8.47890053306512,1496.43118493885,107.007721327319,2.91065611912517,5,5,221.962740647891,7126.102839,-21.2219344,-43.7706811
Brasil,Marilia,47,0.7193,7.3178,60.9546,1982.4569,3333.9296,1.02871969978719,10.5915563388213,1672.25262923132,92.9703397454579,3.19002778635381,4,3,572.248289685675,5332.884308,-22.2175825,-49.95052150000001
Chile,Quillota,47,2.1102,5.5867,61.8898,698.3541,1206.7357,1.05524844077255,10.6993531167787,1371.70945870458,75.711034420755,2.83363471971066,2,6,214.872803515073,6032.150565,-32.8803027,-71.2497156
Mexico,Nogales,47,0.8451,7.2956,60.4298,2188.9545,3459.0665,1.07814925036194,6.184681573217371,1208.25472855946,112.553662068965,2.68764789398958,4,2,526.78540704645,5601.982192,31.3011855,-110.9381047
Argentina,San Nicolas de los Arroyos,48,1.1257,4.3717,60.5104,957.0535,1644.4314,1.01921511004181,5.92690905015726,1131.30672235054,107.018352335164,3.26968796433878,2,1,413.200199172116,4946.933439,-33.3334669,-60.2110494
